["Abbeville County, South Carolina","19043","1421","45","001"],
["Acadia Parish, Louisiana","45886","3417","22","001"],
["Accomack County, Virginia","26044","3509","51","001"],
["Ada County, Idaho","325380","32233","16","001"],
["Adair County, Missouri","20751","1731","29","001"],
["Adair County, Oklahoma","16169","1597","40","001"],
["Adams County, Colorado","355762","27395","08","001"],
["Adams County, Illinois","51203","4637","17","001"],
["Adams County, Indiana","24038","1321","18","001"],
["Adams County, Mississippi","24145","881","28","001"],
["Adams County, Nebraska","24449","2042","31","001"],
["Adams County, Ohio","21190","1862","39","001"],
["Adams County, Pennsylvania","81120","8186","42","001"],
["Adams County, Wisconsin","17178","2150","55","001"],
["Addison County, Vermont","30354","1876","50","001"],
["Aguada Municipio, Puerto Rico","31592","444","72","003"],
["Aguadilla Municipio, Puerto Rico","44017","2658","72","005"],
["Aguas Buenas Municipio, Puerto Rico",null,null,"72","007"]]
["Aibonito Municipio, Puerto Rico",null,null,"72","009"],
["Aiken County, South Carolina","128770","14249","45","003"],
["Alachua County, Florida","212784","15576","12","001"],
["Alamance County, North Carolina","122262","9313","37","001"],
["Alameda County, California","1290564","51042","06","001"],
["Albany County, New York","250963","15203","36","001"],
["Albany County, Wyoming","31433","2347","56","001"],
["Albemarle County, Virginia","83505","7596","51","003"],
["Alcorn County, Mississippi","28750","1805","28","003"],
["Alexander County, North Carolina","28542","2532","37","003"],
["Alexandria city, Virginia","122994","10635","51","510"],
["Allegan County, Michigan","85884","6402","26","005"],
["Allegany County, Maryland","60082","5376","24","001"],
["Allegany County, New York","37785","3668","36","003"],
["Allegheny County, Pennsylvania","996429","80025","42","003"],
["Allen County, Indiana","272424","18700","18","003"],
["Allen County, Kentucky","16017","1051","21","003"],
["Allen County, Ohio","79994","7608","39","003"],
["Allen Parish, Louisiana","20065","1224","22","003"],
["Alpena County, Michigan","23425","2077","26","007"],
["Amador County, California","31311","3586","06","005"],
["Amherst County, Virginia","25588","3063","51","009"],
["Añasco Municipio, Puerto Rico",null,null,"72","011"],
["Anchorage Municipality, Alaska","215758","27492","02","020"],
["Anderson County, Kentucky","16112","1741","21","005"],
["Anderson County, South Carolina","149607","14593","45","007"],
["Anderson County, Tennessee","60123","5958","47","001"],
["Anderson County, Texas","46417","4495","48","001"],
["Androscoggin County, Maine","83719","8885","23","001"],
