["Abbeville County, South Carolina","19573","1296","45","001"],
["Acadia Parish, Louisiana","46159","2473","22","001"],
["Accomack County, Virginia","26095","2392","51","001"],
["Ada County, Idaho","334927","27211","16","001"],
["Adair County, Missouri","20591","1083","29","001"],
["Adair County, Oklahoma","16114","932","40","001"],
["Adams County, Colorado","361714","25554","08","001"],
["Adams County, Illinois","51518","3935","17","001"],
["Adams County, Indiana","24171","1915","18","001"],
["Adams County, Mississippi","25325","1404","28","001"],
["Adams County, Nebraska","24162","1673","31","001"],
["Adams County, Ohio","21178","1647","39","001"],
["Adams County, Pennsylvania","81302","8691","42","001"],
["Adams County, Wisconsin","17201","2085","55","001"],
["Addison County, Vermont","30502","2183","50","001"],
["Aguada Municipio, Puerto Rico",null,null,"72","003"],
["Aguadilla Municipio, Puerto Rico","43352","1857","72","005"],
["Aguas Buenas Municipio, Puerto Rico",null,null,"72","007"],
["Aibonito Municipio, Puerto Rico",null,null,"72","009"],
["Aiken County, South Carolina","131317","13784","45","003"],
["Alachua County, Florida","215559","13527","12","001"],
["Alamance County, North Carolina","123952","9691","37","001"],
["Alameda County, California","1300553","50979","06","001"],
["Albany County, New York","250416","16166","36","001"],
["Albany County, Wyoming","31830","2022","56","001"],
["Albemarle County, Virginia","84918","5606","51","003"],
["Alcorn County, Mississippi","28410","1482","28","003"],
["Alexander County, North Carolina","29640","1695","37","003"],
["Alexandria city, Virginia","124779","11000","51","510"],
["Allegan County, Michigan","87120","5083","26","005"],
["Allegany County, Maryland","59253","5643","24","001"],
["Allegany County, New York","37633","3493","36","003"],
["Allegheny County, Pennsylvania","992418","77638","42","003"],
["Allen County, Indiana","273873","20016","18","003"],
["Allen County, Kentucky","16421","1308","21","003"],
["Allen County, Ohio","79825","5879","39","003"],
["Allen Parish, Louisiana","19790","1986","22","003"],
["Alpena County, Michigan","23223","2237","26","007"],
["Amador County, California","31574","4296","06","005"],
["Amherst County, Virginia","25317","2830","51","009"],
["Añasco Municipio, Puerto Rico",null,null,"72","011"],
["Anchorage Municipality, Alaska","216413","26388","02","020"],
["Anderson County, Kentucky","17285","1055","21","005"],
["Anderson County, South Carolina","151391","13628","45","007"],
["Anderson County, Tennessee","60243","6386","47","001"],
["Anderson County, Texas","46339","4236","48","001"],
["Androscoggin County, Maine","84271","8708","23","001"],
["Angelina County, Texas","65012","4869","48","005"],
["Anne Arundel County, Maryland","431371","51163","24","003"],
["Anoka County, Minnesota","262525","20040","27","003"],
["Anson County, North Carolina","20568","1198","37","007"],
["Antrim County, Michigan","19260","1878","26","009"],
["Apache County, Arizona","52162","2862","04","001"],
["Aransas County, Texas","18640","2576","48","007"],
["Arapahoe County, Colorado","481894","39546","08","005"],
["Arecibo Municipio, Puerto Rico","70767","2421","72","013"],
["Arlington County, Virginia","186174","11386","51","013"],
["Armstrong County, Pennsylvania","53782","5514","42","005"],
["Aroostook County, Maine","55433","6488","23","003"],
["Ascension Parish, Louisiana","88231","4721","22","005"],
["Ashe County, North Carolina","21395","1659","37","009"],
["Ashland County, Ohio","41684","3335","39","005"],
["Ashley County, Arkansas","15849","647","05","003"],
["Ashtabula County, Ohio","76325","8662","39","007"],
["Asotin County, Washington","18576","1914","53","003"],
["Assumption Parish, Louisiana","16970","1301","22","007"],
["Atascosa County, Texas","35341","3376","48","013"],
["Athens County, Ohio","56535","2647","39","009"],
["Atlantic County, New Jersey","211863","12028","34","001"],
["Audrain County, Missouri","19936","1745","29","007"],
["Auglaize County, Ohio","35189","2613","39","011"],
["Augusta County, Virginia","60136","5683","51","015"],
["Austin County, Texas","22941","1294","48","015"],
["Autauga County, Alabama","41678","4222","01","001"],
["Avoyelles Parish, Louisiana","31325","2459","22","009"],
["Baker County, Florida","19977","2172","12","003"],
["Baldwin County, Alabama","162534","18214","01","003"],
["Baldwin County, Georgia","36389","2237","13","009"],
["Baltimore County, Maryland","649825","45636","24","005"],
