["Abbeville County, South Carolina","19340","1610","45","001"],
["Acadia Parish, Louisiana","45731","3541","22","001"],
["Accomack County, Virginia","25128","3642","51","001"],
["Ada County, Idaho","368637","32745","16","001"],
["Adair County, Missouri","19731","786","29","001"],
["Adair County, Oklahoma","16199","1149","40","001"],
["Adams County, Colorado","381755","27338","08","001"],
["Adams County, Illinois","51002","4203","17","001"],
["Adams County, Indiana","24619","965","18","001"],
["Adams County, Mississippi","21515","923","28","001"],
["Adams County, Nebraska","23790","1399","31","001"],
["Adams County, Ohio","21082","1848","39","001"],
["Adams County, Pennsylvania","82962","6894","42","001"],
["Adams County, Wisconsin","17714","1726","55","001"],
["Addison County, Vermont","30676","1729","50","001"],
["Aguada Municipio, Puerto Rico",null,null,"72","003"],
["Aguadilla Municipio, Puerto Rico","40782","2382","72","005"],
["Aguas Buenas Municipio, Puerto Rico",null,null,"72","007"],
["Aibonito Municipio, Puerto Rico",null,null,"72","009"],
["Aiken County, South Carolina","133052","12188","45","003"],
["Alachua County, Florida","220480","15510","12","001"],
["Alamance County, North Carolina","132136","9115","37","001"],
["Alameda County, California","1328715","46427","06","001"],
["Albany County, New York","249628","13887","36","001"],
["Albany County, Wyoming","33022","2536","56","001"],
["Albemarle County, Virginia","87389","6489","51","003"],
["Alcorn County, Mississippi","29139","1600","28","003"],
["Alexander County, North Carolina","30765","2063","37","003"],
["Alexandria city, Virginia","127484","10947","51","510"],
["Allegan County, Michigan","89985","3898","26","005"],
["Allegany County, Maryland","58130","4531","24","001"],
["Allegany County, New York","36960","3068","36","003"],
["Allegheny County, Pennsylvania","988419","66945","42","003"],
["Allen County, Indiana","282181","20798","18","003"],
["Allen County, Kentucky","15311","862","21","003"],
["Allen County, Ohio","78702","6338","39","003"],
["Allen Parish, Louisiana","19892","1330","22","003"],
["Alpena County, Michigan","23092","2308","26","007"],
["Amador County, California","33948","4352","06","005"],
["Amherst County, Virginia","25491","1981","51","009"],
["Añasco Municipio, Puerto Rico",null,null,"72","011"],
["Anchorage Municipality, Alaska","210293","22394","02","020"],
["Anderson County, Kentucky","17600","1159","21","005"],
["Anderson County, South Carolina","156806","12275","45","007"],
["Anderson County, Tennessee","61385","6021","47","001"],
["Anderson County, Texas","45563","4814","48","001"],
["Androscoggin County, Maine","85006","7801","23","001"],
["Angelina County, Texas","64658","5457","48","005"],
["Anne Arundel County, Maryland","433767","52491","24","003"],
["Anoka County, Minnesota","271869","17852","27","003"],
["Anson County, North Carolina","20006","1757","37","007"],
["Antrim County, Michigan","19242","1965","26","009"],
["Apache County, Arizona","52787","4198","04","001"],
["Aransas County, Texas","20789","2590","48","007"],
["Arapahoe County, Colorado","501236","38110","08","005"],
["Arecibo Municipio, Puerto Rico","67637","1881","72","013"],
["Arlington County, Virginia","189741","12243","51","013"],
["Armstrong County, Pennsylvania","52358","4932","42","005"],
["Aroostook County, Maine","54610","6182","23","003"],
["Ascension Parish, Louisiana","92899","4189","22","005"],
["Ashe County, North Carolina","21783","1552","37","009"],
["Ashland County, Ohio","41157","3197","39","005"],
["Ashley County, Arkansas","15984","849","05","003"],
["Ashtabula County, Ohio","75992","7838","39","007"],
["Asotin County, Washington","17550","2113","53","003"],
["Assumption Parish, Louisiana","17066","1074","22","007"],
["Atascosa County, Texas","37268","3050","48","013"],
["Athens County, Ohio","55230","2868","39","009"],
["Atlantic County, New Jersey","207999","11480","34","001"],
["Audrain County, Missouri","19666","1526","29","007"],
["Auglaize County, Ohio","34710","2880","39","011"],
["Augusta County, Virginia","62423","5858","51","015"],
["Austin County, Texas","22521","1126","48","015"],
["Autauga County, Alabama","43473","4593","01","001"],
["Avoyelles Parish, Louisiana","30814","2006","22","009"],
["Baker County, Florida","21833","2505","12","003"],
["Baldwin County, Alabama","176331","19580","01","003"],
["Baldwin County, Georgia","36602","1794","13","009"],
["Baltimore County, Maryland","647940","37786","24","005"],
["Baltimore city, Maryland","473353","26257","24","510"],
["Bandera County, Texas","18548","2879","48","019"],
["Bannock County, Idaho","65262","4564","16","005"],
["Barbour County, Alabama","19582","1166","01","005"],
["Barceloneta Municipio, Puerto Rico",null,null,"72","017"],
["Barnstable County, Massachusetts","180356","15848","25","001"],
["Barnwell County, South Carolina","15465","955","45","011"],
["Barranquitas Municipio, Puerto Rico",null,null,"72","019"],
["Barren County, Kentucky","33860","1150","21","009"],
["Barron County, Wisconsin","35465","3050","55","005"],
["Barrow County, Georgia","61655","5066","13","013"],
["Barry County, Michigan","48069","4055","26","015"],
["Barry County, Missouri","27503","2674","29","009"],
["Bartholomew County, Indiana","63750","3540","18","005"],
["Barton County, Kansas","19550","1186","20","009"],
["Bartow County, Georgia","82018","5689","13","015"],
["Bastrop County, Texas","66511","6830","48","021"],
["Baxter County, Arkansas","34818","4907","05","005"],
["Bay County, Florida","136433","17959","12","005"],
["Bay County, Michigan","82511","7729","26","017"],
["Bayamón Municipio, Puerto Rico","140414","5899","72","021"],
["Beadle County, South Dakota","14338","786","46","005"],
["Beaufort County, North Carolina","37670","2830","37","013"],
["Beaufort County, South Carolina","152770","15097","45","013"],
["Beauregard Parish, Louisiana","27836","2638","22","011"],
["Beaver County, Pennsylvania","132388","10778","42","007"],
["Becker County, Minnesota","26169","2746","27","005"],
["Beckham County, Oklahoma","18423","1123","40","009"],
["Bedford County, Pennsylvania","38964","3339","42","009"],
["Bedford County, Tennessee","37107","2182","47","003"],
["Bedford County, Virginia","63016","5799","51","019"],
["Bee County, Texas","25602","2355","48","025"],
["Belknap County, New Hampshire","50181","5052","33","001"],
["Bell County, Kentucky","21867","490","21","013"],
["Bell County, Texas","242267","50247","48","027"],
["Belmont County, Ohio","54437","4216","39","013"],
["Beltrami County, Minnesota","35398","3038","27","007"],
["Bennington County, Vermont","28922","2382","50","003"],
["Benton County, Arkansas","205797","14656","05","007"],
["Benton County, Iowa","19566","1390","19","011"],
["Benton County, Minnesota","30198","1863","27","009"],
["Benton County, Oregon","78101","4251","41","003"],
["Benton County, Washington","150697","12731","53","005"],
["Bergen County, New Jersey","735642","27847","34","003"],
["Berkeley County, South Carolina","168170","21560","45","015"],
["Berkeley County, West Virginia","91657","9933","54","003"],
["Berks County, Pennsylvania","326915","21056","42","011"],
["Berkshire County, Massachusetts","104080","7338","25","003"],
["Bernalillo County, New Mexico","530623","44528","35","001"],
["Berrien County, Michigan","120199","7358","26","021"],
["Bexar County, Texas","1476984","135195","48","029"],
["Bibb County, Alabama","17257","1071","01","007"],
["Bibb County, Georgia","115698","9339","13","021"],
["Bingham County, Idaho","32465","2175","16","011"],
["Black Hawk County, Iowa","102888","7069","19","013"],
["Bladen County, North Carolina","25813","3189","37","017"],
["Blaine County, Idaho","18023","1825","16","013"],
["Blair County, Pennsylvania","97178","8386","42","013"],
["Blount County, Alabama","44378","2737","01","009"],
["Blount County, Tennessee","105740","8890","47","009"],
["Blue Earth County, Minnesota","53989","2726","27","013"],
["Bolivar County, Mississippi","23042","971","28","011"],
["Bonner County, Idaho","36464","3805","16","017"],
["Bonneville County, Idaho","82832","6195","16","019"],
["Boone County, Arkansas","28889","2847","05","009"],
["Boone County, Illinois","40269","2900","17","007"],
["Boone County, Indiana","50008","3017","18","011"],
["Boone County, Iowa","20393","1541","19","015"],
["Boone County, Kentucky","99065","8207","21","015"],
["Boone County, Missouri","143939","8669","29","019"],
["Boone County, West Virginia","16079","1123","54","005"],
["Bossier Parish, Louisiana","90106","9801","22","015"],
["Botetourt County, Virginia","27222","3026","51","023"],
["Boulder County, Colorado","264589","11347","08","013"],
["Bourbon County, Kentucky","16008","687","21","017"],
["Bowie County, Texas","71152","6545","48","037"],
["Box Elder County, Utah","38549","2149","49","003"],
["Boyd County, Kentucky","36763","2982","21","019"],
["Boyle County, Kentucky","24075","1178","21","021"],
["Bradford County, Florida","20274","1858","12","007"],
["Bradford County, Pennsylvania","47385","5799","42","015"],
["Bradley County, Tennessee","84267","6369","47","011"],
["Branch County, Michigan","33872","2723","26","023"],
["Brazoria County, Texas","275998","14609","48","039"],
["Brazos County, Texas","180947","8912","48","041"],
["Breckinridge County, Kentucky","14575","1160","21","027"],
["Bremer County, Iowa","19449","1553","19","017"],
["Brevard County, Florida","490310","70674","12","009"],
["Bristol County, Massachusetts","449379","28104","25","005"],
["Bristol County, Rhode Island","39275","2418","44","001"],
["Bronx County, New York","1069551","25436","36","005"],
["Brooke County, West Virginia","18410","1819","54","009"],
["Brookings County, South Dakota","28159","1423","46","011"],
["Broome County, New York","153641","10887","36","007"],
["Broomfield County, Colorado","54923","3876","08","014"],
["Broward County, Florida","1541451","70072","12","011"],
["Brown County, Minnesota","19636","1375","27","015"],
["Brown County, Ohio","33472","2956","39","015"],
["Brown County, South Dakota","30273","1455","46","013"],
["Brown County, Texas","29726","2780","48","049"],
["Brown County, Wisconsin","202322","12857","55","009"],
["Brunswick County, North Carolina","121786","14187","37","019"],
["Bryan County, Georgia","27112","3922","13","029"],
["Bryan County, Oklahoma","36975","2279","40","013"],
["Buchanan County, Iowa","15590","1315","19","019"],
["Buchanan County, Missouri","68134","5770","29","021"],
["Buchanan County, Virginia","17100","1079","51","027"],
["Bucks County, Pennsylvania","500441","31069","42","017"],
["Buena Vista County, Iowa","14568","635","19","021"],
["Buffalo County, Nebraska","37848","2343","31","019"],
["Bullitt County, Kentucky","64155","6476","21","029"],
["Bulloch County, Georgia","64113","3858","13","031"],
["Buncombe County, North Carolina","212976","16395","37","021"],
["Bureau County, Illinois","25837","1802","17","011"],
["Burke County, Georgia","16484","966","13","033"],
["Burke County, North Carolina","73721","5192","37","023"],
["Burleigh County, North Dakota","73794","5100","38","015"],
["Burlington County, New Jersey","345328","24481","34","005"],
["Burnet County, Texas","38037","4306","48","053"],
["Butler County, Alabama","15576","998","01","013"],
["Butler County, Kansas","49188","4828","20","015"],
